antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
22698,"22697, 22699",0.030000539578049965,0.029029299088113095,0.02104354394863217,0.7014388489208634,24.163134176673534,1.0,0.020172649312416184,3.252166925945839,0.9882630654839588,0.5539772727272728,0.6925127083662329,0.7131729560589448
"22697, 22699",22698,0.029029299088113095,0.030000539578049965,0.02104354394863217,0.7249070631970261,24.163134176673534,1.0,0.020172649312416184,3.526079119641955,0.9872745278246806,0.5539772727272728,0.7163988764660669,0.7131729560589448
"22698, 22699",22697,0.023525602978470835,0.037122969837587005,0.02104354394863217,0.8944954128440368,24.095470183486242,1.0,0.02017020369885135,9.126399677191573,0.9815909422584561,0.5313351498637603,0.8904277661103129,0.7306779389801579
22697,"22698, 22699",0.037122969837587005,0.023525602978470835,0.02104354394863217,0.5668604651162791,24.09547018348624,1.0,0.02017020369885135,2.2544106884255437,0.995452579548965,0.5313351498637603,0.5564250980825551,0.7306779389801579
22697,22698,0.037122969837587005,0.030000539578049965,0.02476663249339017,0.6671511627906977,22.23797212230216,1.0,0.023652923367522886,2.914234186769877,0.9918523768275718,0.5847133757961784,0.6568566779774156,0.7463453655680108
22698,22697,0.030000539578049965,0.037122969837587005,0.02476663249339017,0.8255395683453237,22.237972122302157,1.0,0.023652923367522886,5.5191714306216655,0.9845694868158212,0.5847133757961784,0.8188133830285169,0.7463453655680108
"22697, 22698",22699,0.02476663249339017,0.042141045702260835,0.02104354394863217,0.8496732026143791,20.16260366716042,1.0,0.019999852156837118,6.371844348154525,0.9745392872038883,0.4588235294117647,0.8430595687275961,0.674516498874411
22698,22699,0.030000539578049965,0.042141045702260835,0.023525602978470835,0.7841726618705036,18.608286738087124,1.0,0.022261348869019745,4.4380798215795245,0.9755268327062152,0.48390677025527196,0.7746773288894797,0.6712156523180943
22699,22698,0.042141045702260835,0.030000539578049965,0.023525602978470835,0.5582586427656849,18.60828673808712,1.0,0.022261348869019745,2.1958538509841823,0.9878912726205291,0.48390677025527196,0.5445962856080792,0.6712156523180943
22699,22697,0.042141045702260835,0.037122969837587005,0.029029299088113095,0.6888604353393085,18.556177976952625,1.0,0.02746489831958369,3.094678850028166,0.9877337241230267,0.5778732545649838,0.6768646930873301,0.7354185897626775
22697,22699,0.037122969837587005,0.042141045702260835,0.029029299088113095,0.7819767441860466,18.556177976952625,1.0,0.02746489831958369,4.393379737045631,0.9825861065078156,0.5778732545649838,0.7723848017124831,0.7354185897626775
22629,22630,0.0379323369125344,0.03318405007284304,0.02282415151351643,0.6017069701280228,18.132415085175033,1.0,0.02156540294603094,2.4273986171385404,0.9821036344037263,0.4726256983240224,0.5880363476606009,0.6447559240884017
22630,22629,0.03318405007284304,0.0379323369125344,0.02282415151351643,0.6878048780487805,18.132415085175033,1.0,0.02156540294603094,3.0816229833270388,0.9772802657338118,0.4726256983240224,0.6754956704923191,0.6447559240884017
23300,23301,0.0342092483677764,0.040630227162359034,0.024820590298386663,0.7255520504731862,17.857445088206585,1.0,0.023430660766150347,3.495634689534853,0.9774383800892447,0.4962243797195255,0.713928917402675,0.668220912354787
23301,23300,0.040630227162359034,0.0342092483677764,0.024820590298386663,0.6108897742363878,17.857445088206585,1.0,0.023430660766150347,2.4820492695531207,0.9839802905071648,0.4962243797195255,0.5971071113426993,0.668220912354787
22726,22727,0.042410834727243295,0.047267037176927644,0.028435763233151674,0.6704834605597965,14.185011386477976,1.0,0.026431128731394533,2.891305439300907,0.9706699766665537,0.46431718061674004,0.6541354689106138,0.6360408170378891
22727,22726,0.047267037176927644,0.042410834727243295,0.028435763233151674,0.6015981735159817,14.185011386477974,1.0,0.026431128731394533,2.4035762429195837,0.9756176063828129,0.46431718061674004,0.5839532850493993,0.6360408170378891
22728,22727,0.03296821885285706,0.047267037176927644,0.02125937516861814,0.6448445171849427,13.642583832178703,1.0,0.019701065142443058,2.682579909146992,0.9582933263544167,0.36047575480329375,0.627224524946964,0.5473081033413298
22910,22086,0.037554632277558946,0.05282469109156639,0.024334970053418226,0.6479885057471264,12.266773214516338,1.0,0.022351158204298806,2.690751081633754,0.9543180317153848,0.3684640522875817,0.6283565556005181,0.5543313315252486
82494L,82482,0.043597906437166135,0.047105163761938164,0.025090379323369126,0.5754950495049506,12.2172391208193,1.0,0.023036692800968758,2.2447201973188164,0.9600025478866191,0.3824013157894737,0.5545101785093572,0.5540705488074581
82482,82494L,0.047105163761938164,0.043597906437166135,0.025090379323369126,0.5326460481099656,12.217239120819299,1.0,0.023036692800968758,2.0464191854910636,0.9635359660979799,0.3824013157894737,0.5113415633073056,0.5540705488074581
22470,22469,0.043166243997194195,0.051691577186640046,0.02185291102357956,0.50625,9.79366518789144,1.0,0.019621579790141258,1.9206246537992098,0.9384004015670023,0.2993348115299335,0.4793360597439545,0.46450287056367434
23202,23203,0.041655425457292394,0.0579506825662332,0.02298602492850591,0.5518134715025907,9.522122036645731,1.0,0.020572064590668966,2.1019135059504856,0.9338826721944187,0.3,0.5242430303773135,0.47423075809766413
22384,20725,0.049910969621755785,0.06938973722548966,0.02795014298818324,0.56,8.070357698289271,1.0,0.02448683392146021,2.115023324487524,0.9221133251119622,0.3059657412876551,0.5271919754160145,0.4813996889580094
20726,20725,0.04413748448713106,0.06938973722548966,0.02320185614849188,0.5256723716381418,7.5756501271926,1.0,0.02013916769813573,1.961956688014303,0.9080784251947831,0.25686977299880526,0.4903047523377795,0.4300212558035188
85099F,85099B,0.03528840446770625,0.0862245723843954,0.0222845734635515,0.6314984709480123,7.3238805770209705,1.0,0.01924184587819594,2.4797059322016826,0.8950450749976941,0.22457857531266992,0.5967263750858879,0.44497326551155303
22386,85099B,0.04688933254195219,0.0862245723843954,0.029407003723088545,0.6271576524741083,7.273537405070494,1.0,0.025363991075269002,2.450835946290002,0.904947708915038,0.2835587929240375,0.5919759535460672,0.4841044833083933
21931,85099B,0.041655425457292394,0.0862245723843954,0.023309771758484865,0.5595854922279794,6.489861030951904,1.0,0.01971805051093977,2.074807735644844,0.882681989460887,0.22291021671826627,0.5180276307919186,0.41496170731549153
21733,85123A,0.036529433982625585,0.10662062267306965,0.0245508012734042,0.672082717872969,6.3034964627225385,1.0,0.020656010276281868,2.724404677704198,0.8732574884792625,0.2070063694267516,0.6329473340786216,0.45117293788385293
22697,22423,0.037122969837587005,0.09167431068904117,0.020126261263691794,0.5421511627906977,5.913883166568571,1.0,0.01672303859310094,1.9838986483998087,0.8629413094738203,0.1852035749751738,0.4959419923963408,0.38084603460311817
22699,22423,0.042141045702260835,0.09167431068904117,0.022608320293530458,0.5364916773367477,5.852148473267773,1.0,0.018745068977060315,1.9596750368835878,0.8655998692137011,0.20329936923823388,0.48971131377461957,0.3915536668025704
22411,85099B,0.042572708142232775,0.0862245723843954,0.021313332973614634,0.5006337135614702,5.8061605841268635,1.0,0.017642519418804944,1.829870082204853,0.8645765086575887,0.19829317269076308,0.4535131156442119,0.37390884676821945
